xx,yy,start_time
4.5,27,'06-09-2019 21:30:24'
5.75,27.75,'06-09-2019 21:30:28'
6.5,27.25,'06-09-2019 21:30:32'
5.75,31.5,'06-09-2019 21:30:35'
15.5,16.5,'06-09-2019 21:30:37'
19.25,60,'06-09-2019 21:30:39'
7.75,31.25,'06-09-2019 21:30:41'
-9.25,12,'06-09-2019 21:30:45'
6.75,30.5,'06-09-2019 21:30:50'
22.25,60,'06-09-2019 21:30:53'
11.25,35,'06-09-2019 21:30:55'
-4.75,2.25,'06-09-2019 21:30:57'
-4.75,2.25,'06-09-2019 21:30:59'
19,60,'06-09-2019 21:31:01'
5.25,27.5,'06-09-2019 21:31:03'
8.25,30.5,'06-09-2019 21:31:05'
-4.75,2.25,'06-09-2019 21:31:08'
6,28.25,'06-09-2019 21:31:11'
5,26.25,'06-09-2019 21:31:13'
-5.5,1.5,'06-09-2019 21:31:16'
-5.5,1.25,'06-09-2019 21:31:20'
5,26,'06-09-2019 21:31:23'
-11.25,12.5,'06-09-2019 21:31:29'
1.75,24.75,'06-09-2019 21:31:31'
-6.75,2,'06-09-2019 21:31:34'
2,25.5,'06-09-2019 21:31:36'
2.5,23.5,'06-09-2019 21:31:42'
2.5,23.75,'06-09-2019 21:31:44'
15.5,60,'06-09-2019 21:31:47'
5,31.75,'06-09-2019 21:31:49'
2.75,27.25,'06-09-2019 21:31:55'
-6.25,3.5,'06-09-2019 21:31:59'
4.25,26,'06-09-2019 21:32:02'
-5,1.25,'06-09-2019 21:32:04'
2.75,24.5,'06-09-2019 21:32:07'
-10.25,12.25,'06-09-2019 21:32:12'
-6.25,2,'06-09-2019 21:32:18'
-10.75,12.5,'06-09-2019 21:32:21'
15,15.25,'06-09-2019 21:32:23'
4,25.5,'06-09-2019 21:32:24'
3,25.25,'06-09-2019 21:32:26'
14.25,60,'06-09-2019 21:32:28'
-10.75,12.75,'06-09-2019 21:32:30'
-7.75,2.5,'06-09-2019 21:32:32'
-7.25,2.5,'06-09-2019 21:32:35'
9.25,18,'06-09-2019 21:32:37'
-6.75,-1,'06-09-2019 21:32:39'
-0.25,23.5,'06-09-2019 21:32:41'
3,15.5,'06-09-2019 21:32:43'
-14,7.5,'06-09-2019 21:32:45'
-8.75,25.75,'06-09-2019 21:32:49'
-9,6.5,'06-09-2019 21:32:51'
0,24.75,'06-09-2019 21:32:54'
-0.5,22.5,'06-09-2019 21:33:04'
-0.5,23,'06-09-2019 21:33:06'
