xx,yy,start_time
-14.75,9.25,'07-09-2019 22:25:18'
-14.75,9.25,'07-09-2019 22:25:20'
-14.75,9.25,'07-09-2019 22:25:22'
-14.75,9.25,'07-09-2019 22:25:24'
-18.5,11.5,'07-09-2019 22:25:28'
-14.75,9.25,'07-09-2019 22:25:30'
-14.75,9.25,'07-09-2019 22:25:33'
-14.75,9.25,'07-09-2019 22:25:35'
-17.5,10.5,'07-09-2019 22:25:37'
-14.75,9.25,'07-09-2019 22:25:39'
-14.75,9.25,'07-09-2019 22:25:41'
-14.75,9.25,'07-09-2019 22:25:43'
-14.75,9.25,'07-09-2019 22:25:45'
-14.75,9.25,'07-09-2019 22:25:47'
-14.75,9.25,'07-09-2019 22:25:54'
-14.75,9.25,'07-09-2019 22:25:56'
-14.75,9.25,'07-09-2019 22:25:58'
-14.75,9.25,'07-09-2019 22:26:00'
-14.75,9.25,'07-09-2019 22:26:01'
-16.25,10,'07-09-2019 22:26:03'
-14.75,9.25,'07-09-2019 22:26:05'
-17,10.25,'07-09-2019 22:26:07'
-14.75,9.25,'07-09-2019 22:26:09'
-14.75,9.25,'07-09-2019 22:26:11'
-14.75,9.25,'07-09-2019 22:26:14'
-14.75,9.25,'07-09-2019 22:26:18'
-14.75,9.25,'07-09-2019 22:26:20'
-6,7.25,'07-09-2019 22:26:22'
-17,10.25,'07-09-2019 22:26:24'
-9.5,13.25,'07-09-2019 22:26:27'
-16.75,10.25,'07-09-2019 22:26:31'
-16.75,10.25,'07-09-2019 22:26:33'
-14.75,9.25,'07-09-2019 22:26:36'
-14.75,9.25,'07-09-2019 22:26:40'
-16.25,10,'07-09-2019 22:26:42'
-14.75,9.25,'07-09-2019 22:26:44'
-14.75,9.25,'07-09-2019 22:26:46'
-1.75,6.25,'07-09-2019 22:26:50'
-14.75,9.25,'07-09-2019 22:26:53'
-17.25,9.75,'07-09-2019 22:26:55'
-14.75,9.25,'07-09-2019 22:26:59'
-14.75,9.25,'07-09-2019 22:27:01'
