xx,yy,start_time
-8.5,2,'07-09-2019 22:22:16'
-9,2.5,'07-09-2019 22:22:17'
-9,2,'07-09-2019 22:22:20'
-8.5,-2,'07-09-2019 22:22:22'
-7.5,-5.5,'07-09-2019 22:22:26'
-11.75,0,'07-09-2019 22:22:28'
-8,2,'07-09-2019 22:22:30'
-8,-2.25,'07-09-2019 22:22:32'
-8.25,2.25,'07-09-2019 22:22:35'
-9,2.5,'07-09-2019 22:22:38'
-9.25,3,'07-09-2019 22:22:40'
-9.5,2.75,'07-09-2019 22:22:42'
-9.25,3,'07-09-2019 22:22:44'
-9,2.5,'07-09-2019 22:22:48'
-9.25,2.5,'07-09-2019 22:22:50'
-9,2.25,'07-09-2019 22:22:54'
-8.75,-1.25,'07-09-2019 22:22:56'
-8.5,2.25,'07-09-2019 22:22:58'
-7.5,2,'07-09-2019 22:23:00'
-14.5,7.25,'07-09-2019 22:23:02'
-11.5,2.75,'07-09-2019 22:23:04'
-6.5,-2.25,'07-09-2019 22:23:07'
-9,2.75,'07-09-2019 22:23:10'
-11.25,3.5,'07-09-2019 22:23:12'
-9.25,2.25,'07-09-2019 22:23:16'
-9,2.75,'07-09-2019 22:23:18'
-11.25,7.75,'07-09-2019 22:23:20'
-9,2.25,'07-09-2019 22:23:22'
-10.75,6,'07-09-2019 22:23:24'
-7.25,0.75,'07-09-2019 22:23:28'
-8.75,2.5,'07-09-2019 22:23:30'
-9,2.75,'07-09-2019 22:23:32'
-9.25,2.5,'07-09-2019 22:23:34'
-8.75,2.5,'07-09-2019 22:23:36'
-9.75,3,'07-09-2019 22:23:38'
-7,-5.25,'07-09-2019 22:23:40'
-9.25,2.75,'07-09-2019 22:23:42'
-15,5.25,'07-09-2019 22:23:44'
-12,7,'07-09-2019 22:23:46'
-12,0.25,'07-09-2019 22:23:48'
-6.25,14.75,'07-09-2019 22:23:52'
-15,6.25,'07-09-2019 22:23:56'
-9,3.25,'07-09-2019 22:24:03'
-8.75,2.75,'07-09-2019 22:24:07'
-8.75,2.25,'07-09-2019 22:24:09'
-8,1.75,'07-09-2019 22:24:12'
